dataset,ablation,mae,rmse,mape,status,delta_mae_pct
CAD3,full,6.26,11.59,69.1786,ok,0.0
CAD3,minus_DTP,5971.30,12984.84,10871.9150,ok,95288.18
CAD3,minus_PTTM,9.58,16.00,154.4065,ok,53.04
CAD3,minus_SDM,6.71,11.76,79.1392,ok,7.19
CAD3,minus_STC,6.96,12.53,76.1521,ok,11.18
NYC_BIKE-3,full,6.26,11.59,69.1786,ok,0.0
NYC_BIKE-3,minus_DTP,5971.30,12984.84,10871.9150,ok,95288.18
NYC_BIKE-3,minus_PTTM,9.58,16.00,154.4065,ok,53.04
NYC_BIKE-3,minus_SDM,6.71,11.76,79.1392,ok,7.19
NYC_BIKE-3,minus_STC,6.96,12.53,76.1521,ok,11.18
