variant,dataset,params_M,mae,rmse,mape,infer_wall_s,gpu_mb,status
base,CAD3,4.72,16.34,28.28,22.7316,80.4,0,ok
base,METR_LA,4.72,4.33,8.68,13.6477,33.2,1531,ok
base,NYC_TAXI,4.72,3.16,7.26,37.3976,281.9,0,ok
base,PEMS04,4.72,21.27,34.68,15.4214,63.8,2405,ok
base,PEMS07M,4.72,4.76,8.79,13.3011,40.3,2193,ok
base,PEMS_BAY,4.72,3.17,6.96,7.6082,134.6,2357,ok
mini,CAD3,1.67,16.28,27.82,22.5074,115.2,2357,ok
mini,METR_LA,1.67,4.62,9.26,14.9851,36.1,2263,ok
mini,NYC_TAXI,1.67,3.20,7.48,37.1704,416.6,2405,ok
mini,PEMS04,1.67,22.44,36.89,15.6768,35.2,0,ok
mini,PEMS07M,1.67,4.64,8.51,12.9122,36.2,1531,ok
mini,PEMS_BAY,1.67,2.84,6.25,6.8575,74.1,0,ok
plus,CAD3,25.97,15.88,27.04,21.9381,244.5,2359,ok
plus,METR_LA,25.97,4.85,9.45,14.1874,126.5,2311,ok
plus,NYC_TAXI,25.97,3.34,8.05,38.4235,885.1,2405,ok
plus,PEMS04,25.97,23.46,38.32,16.7025,93.7,0,ok
plus,PEMS07M,25.97,4.50,8.21,12.1997,121.8,1531,ok
plus,PEMS_BAY,25.97,2.59,5.67,5.9884,204.1,0,ok
