variant,dataset,mae,rmse,mape
plus,PEMS04,23.46,38.32,16.7025
plus,PEMS08,18.58,32.40,15.2231
plus,PEMS07M,4.50,8.21,12.1984
plus,METR_LA,4.85,9.45,14.1874
plus,PEMS_BAY,2.59,5.67,5.9882
plus,TrafficHZ,0.50,0.82,7.5456
plus,TrafficZZ,0.61,0.99,11.4810
plus,TrafficCD,0.54,0.83,7.1772
plus,TrafficJN,0.66,1.06,10.9366
plus,NYC_TAXI,3.34,8.05,38.4210
plus,CD_DIDI,6.34,9.36,28.3649
plus,SZ_DIDI,4.66,7.10,19.0460
plus,CAD4-1,24.71,41.78,17.7348
base,PEMS07M,4.76,8.80,13.2635
mini,PEMS07M,4.60,8.41,12.5861
base,METR_LA,4.33,8.68,13.6477
mini,METR_LA,4.62,9.26,14.9851
plus,CAD4-2,20.82,35.28,17.3221
plus,CAD4-3,25.58,42.78,18.3491
plus,CAD4-4,25.36,41.40,15.1964
plus,CAD7-1,24.67,43.43,11.4011
base,PEMS04,21.29,34.69,15.4454
mini,PEMS04,22.47,36.91,15.6964
base,NYC_TAXI,3.14,7.09,37.3646
